[502]
[450] 5
[432] 4
[440] 3
[406] 11
[70] 10
[454] 9
[404] 11 5
[64] 10 5
[386] 9 5
[435] 2 4
[436] 1 4
[439] 0 4
[336] 11 4
[0] 10 4
[384] 9 4
[344] 11 3
[56] 10 3
[392] 9 3
[438] 14 3
[444] 13 3
[442] 12 3
[402] 5 11
[336] 4 11
[344] 3 11
[358] 8 11
[310] 7 11
[118] 6 11
[142] 2 10
[166] 1 10
[46] 0 10
[66] 5 10
[0] 4 10
[56] 3 10
[18] 5 9
[144] 4 9
[488] 3 9
[44] 9 0 10 5
[134] 2 8 10 5
[158] 1 8 10 5
[38] 0 8 10 5
[398] 11 8 10 5
[350] 9 8 10 5
[132] 2 7 10 5
[156] 1 7 10 5
[36] 0 7 10 5
[127] 2 6 10 5
[27] 0 6 10 5
[5] 5 2 9 5
[149] 4 2 9 5
[485] 3 2 9 5
[399] 7 2 9 5
[397] 6 2 9 5
[341] 10 2 9 5
[53] 9 2 9 5
[6] 5 1 9 5
[150] 4 1 9 5
[9] 5 0 9 5
[215] 4 0 9 5
[499] 3 0 9 5
[337] 10 0 9 5
[1] 9 0 9 5
[77] 2 5 9 5
[102] 1 5 9 5
[121] 0 5 9 5
[149] 2 4 9 5
[150] 1 4 9 5
[145] 0 4 9 5
[212] 10 4 9 5
[208] 9 4 9 5
[98] 14 4 9 5
[242] 13 4 9 5
[194] 12 4 9 5
[485] 2 3 9 5
[481] 0 3 9 5
[500] 10 3 9 5
[496] 9 3 9 5
[337] 5 11 2 4
[345] 4 11 2 4
[407] 3 11 2 4
[355] 8 11 2 4
[307] 7 11 2 4
[115] 6 11 2 4
[141] 2 10 2 4
[165] 1 10 2 4
[45] 0 10 2 4
[17] 5 9 2 4
[209] 4 9 2 4
[497] 3 9 2 4
[399] 8 9 2 4
[397] 7 9 2 4
[350] 11 7 1 4
[398] 9 7 1 4
[352] 8 11 1 4
[302] 7 11 1 4
[108] 6 11 1 4
[127] 2 10 1 4
[27] 0 10 1 4
[4] 5 9 1 4
[484] 3 9 1 4
[398] 7 9 1 4
[295] 8 11 0 4
[247] 7 11 0 4
[103] 6 11 0 4
[349] 14 11 0 4
[347] 13 11 0 4
[345] 12 11 0 4
[99] 1 10 0 4
[28] 0 10 0 4
[61] 14 10 0 4
[59] 13 10 0 4
[57] 12 10 0 4
[7] 5 9 0 4
[487] 3 9 0 4
[397] 14 9 0 4
[395] 13 9 0 4
[393] 12 9 0 4
[449] 7 14 0 4
[447] 6 14 0 4
[349] 11 14 0 4
[61] 10 14 0 4
[397] 9 14 0 4
[347] 11 13 0 4
[59] 10 13 0 4
[395] 9 13 0 4
[503] 5 12 0 4
[451] 4 12 0 4
[345] 11 12 0 4
[57] 10 12 0 4
[393] 9 12 0 4
[291] 8 2 11 4
[243] 7 2 11 4
[51] 6 2 11 4
[67] 11 2 11 4
[453] 10 2 11 4
[449] 9 2 11 4
[352] 8 1 11 4
[302] 7 1 11 4
[108] 6 1 11 4
[295] 8 0 11 4
[247] 7 0 11 4
[103] 6 0 11 4
[349] 14 0 11 4
[347] 13 0 11 4
[345] 12 0 11 4
[291] 2 8 11 4
[292] 1 8 11 4
[295] 0 8 11 4
[243] 2 7 11 4
[244] 1 7 11 4
[247] 0 7 11 4
[123] 2 6 11 4
[4] 1 6 11 4
[79] 0 6 11 4
[363] 8 2 10 4
[315] 7 2 10 4
[267] 6 2 10 4
[139] 11 2 10 4
[141] 10 2 10 4
[137] 9 2 10 4
[158] 7 1 10 4
[156] 6 1 10 4
[244] 14 1 10 4
[196] 13 1 10 4
[175] 5 0 10 4
[511] 4 0 10 4
[415] 3 0 10 4
[37] 14 0 10 4
[35] 13 0 10 4
[33] 12 0 10 4
[3] 5 2 9 4
[483] 3 2 9 4
[451] 11 2 9 4
[405] 10 2 9 4
[65] 9 2 9 4
[4] 5 1 9 4
[484] 3 1 9 4
[398] 7 1 9 4
[7] 5 0 9 4
[487] 3 0 9 4
[397] 14 0 9 4
[395] 13 0 9 4
[393] 12 0 9 4
[80] 2 5 9 4
[176] 0 5 9 4
[6] 14 5 9 4
[12] 13 5 9 4
[10] 12 5 9 4
[500] 11 3 9 4
[496] 10 3 9 4
[294] 14 8 11 3
[300] 13 8 11 3
[298] 12 8 11 3
[198] 14 7 11 3
[204] 13 7 11 3
[154] 12 7 11 3
[176] 2 6 11 3
[80] 0 6 11 3
[102] 14 6 11 3
[108] 13 6 11 3
[106] 12 6 11 3
[337] 2 14 11 3
[341] 0 14 11 3
[294] 8 14 11 3
[246] 7 14 11 3
[102] 6 14 11 3
[292] 8 13 11 3
[304] 7 13 11 3
[110] 6 13 11 3
[298] 8 12 11 3
[250] 7 12 11 3
[106] 6 12 11 3
[368] 8 2 10 3
[320] 7 2 10 3
[272] 6 2 10 3
[126] 14 2 10 3
[132] 13 2 10 3
[130] 12 2 10 3
[246] 14 1 10 3
[252] 13 1 10 3
[202] 12 1 10 3
[238] 5 0 10 3
[522] 4 0 10 3
[408] 3 0 10 3
[30] 14 0 10 3
[36] 13 0 10 3
[34] 12 0 10 3
[73] 2 14 10 3
[98] 1 14 10 3
[29] 0 14 10 3
[132] 2 13 10 3
[156] 1 13 10 3
[36] 0 13 10 3
[130] 2 12 10 3
[154] 1 12 10 3
[34] 0 12 10 3
[212] 11 4 9 3
[208] 10 4 9 3
[258] 12 4 9 3
[483] 2 3 9 3
[484] 1 3 9 3
[487] 0 3 9 3
[6] 5 14 9 3
[150] 4 14 9 3
[12] 5 13 9 3
[204] 4 13 9 3
[398] 6 13 9 3
[10] 5 12 9 3
[202] 4 12 9 3
[503] 4 2 14 3
[451] 3 2 14 3
[337] 11 2 14 3
[1] 10 2 14 3
[449] 8 0 14 3
[447] 7 0 14 3
[341] 11 0 14 3
[53] 10 0 14 3
[337] 2 11 14 3
[341] 0 11 14 3
[294] 8 11 14 3
[246] 7 11 14 3
[102] 6 11 14 3
[73] 2 10 14 3
[98] 1 10 14 3
[29] 0 10 14 3
[6] 5 9 14 3
[150] 4 9 14 3
[350] 11 6 13 3
[398] 9 6 13 3
[292] 8 11 13 3
[304] 7 11 13 3
[110] 6 11 13 3
[132] 2 10 13 3
[156] 1 10 13 3
[36] 0 10 13 3
[12] 5 9 13 3
[204] 4 9 13 3
[398] 6 9 13 3
[298] 8 11 12 3
[250] 7 11 12 3
[106] 6 11 12 3
[130] 2 10 12 3
[154] 1 10 12 3
[34] 0 10 12 3
[10] 5 9 12 3
[202] 4 9 12 3
[352] 10 8 5 11
[290] 9 8 5 11
[304] 10 7 5 11
[242] 9 7 5 11
[258] 14 7 5 11
[112] 10 6 5 11
[50] 9 6 5 11
[140] 2 11 5 11
[164] 1 11 5 11
[44] 0 11 5 11
[208] 4 10 5 11
[496] 3 10 5 11
[398] 8 10 5 11
[291] 8 2 4 11
[243] 7 2 4 11
[51] 6 2 4 11
[67] 11 2 4 11
[453] 10 2 4 11
[449] 9 2 4 11
[352] 8 1 4 11
[302] 7 1 4 11
[108] 6 1 4 11
[295] 8 0 4 11
[247] 7 0 4 11
[103] 6 0 4 11
[349] 14 0 4 11
[347] 13 0 4 11
[345] 12 0 4 11
[291] 2 8 4 11
[292] 1 8 4 11
[295] 0 8 4 11
[243] 2 7 4 11
[244] 1 7 4 11
[247] 0 7 4 11
[123] 2 6 4 11
[4] 1 6 4 11
[79] 0 6 4 11
[294] 14 8 3 11
[300] 13 8 3 11
[298] 12 8 3 11
[198] 14 7 3 11
[204] 13 7 3 11
[154] 12 7 3 11
[176] 2 6 3 11
[80] 0 6 3 11
[102] 14 6 3 11
[108] 13 6 3 11
[106] 12 6 3 11
[337] 2 14 3 11
[341] 0 14 3 11
[294] 8 14 3 11
[246] 7 14 3 11
[102] 6 14 3 11
[292] 8 13 3 11
[304] 7 13 3 11
[110] 6 13 3 11
[298] 8 12 3 11
[250] 7 12 3 11
[106] 6 12 3 11
[352] 10 5 8 11
[290] 9 5 8 11
[291] 2 4 8 11
[292] 1 4 8 11
[295] 0 4 8 11
[294] 14 3 8 11
[300] 13 3 8 11
[298] 12 3 8 11
[304] 10 5 7 11
[242] 9 5 7 11
[258] 14 5 7 11
[243] 2 4 7 11
[244] 1 4 7 11
[247] 0 4 7 11
[198] 14 3 7 11
[204] 13 3 7 11
[154] 12 3 7 11
[258] 5 14 7 11
[200] 3 14 7 11
[120] 4 2 6 11
[176] 3 2 6 11
[286] 13 2 6 11
[238] 12 2 6 11
[24] 4 0 6 11
[80] 3 0 6 11
[478] 11 0 6 11
[526] 10 0 6 11
[112] 10 5 6 11
[50] 9 5 6 11
[123] 2 4 6 11
[4] 1 4 6 11
[79] 0 4 6 11
[176] 2 3 6 11
[80] 0 3 6 11
[102] 14 3 6 11
[108] 13 3 6 11
[106] 12 3 6 11
[426] 8 5 2 10
[378] 7 5 2 10
[330] 6 5 2 10
[140] 11 5 2 10
[74] 9 5 2 10
[99] 2 4 2 10
[28] 1 4 2 10
[360] 8 4 2 10
[312] 7 4 2 10
[264] 6 4 2 10
[368] 8 3 2 10
[320] 7 3 2 10
[272] 6 3 2 10
[126] 14 3 2 10
[132] 13 3 2 10
[130] 12 3 2 10
[426] 5 8 2 10
[360] 4 8 2 10
[368] 3 8 2 10
[478] 10 8 2 10
[526] 9 8 2 10
[378] 5 7 2 10
[312] 4 7 2 10
[320] 3 7 2 10
[330] 5 6 2 10
[264] 4 6 2 10
[272] 3 6 2 10
[286] 14 6 2 10
[238] 13 6 2 10
[164] 11 5 1 10
[98] 9 5 1 10
[258] 13 5 1 10
[27] 2 4 1 10
[127] 0 4 1 10
[246] 14 3 1 10
[252] 13 3 1 10
[202] 12 3 1 10
[258] 5 13 1 10
[200] 3 13 1 10
[236] 11 5 0 10
[232] 10 5 0 10
[170] 9 5 0 10
[330] 13 5 0 10
[282] 12 5 0 10
[507] 2 4 0 10
[508] 1 4 0 10
[511] 0 4 0 10
[464] 11 3 0 10
[368] 10 3 0 10
[80] 9 3 0 10
[414] 14 3 0 10
[420] 13 3 0 10
[418] 12 3 0 10
[426] 8 2 5 10
[378] 7 2 5 10
[330] 6 2 5 10
[140] 11 2 5 10
[74] 9 2 5 10
[164] 11 1 5 10
[98] 9 1 5 10
[258] 13 1 5 10
[168] 5 0 5 10
[512] 4 0 5 10
[478] 3 0 5 10
[44] 11 0 5 10
[26] 9 0 5 10
[212] 4 11 5 10
[500] 3 11 5 10
[341] 2 9 5 10
[337] 0 9 5 10
[290] 8 9 5 10
[242] 7 9 5 10
[50] 6 9 5 10
[363] 8 2 4 10
[315] 7 2 4 10
[267] 6 2 4 10
[139] 11 2 4 10
[141] 10 2 4 10
[137] 9 2 4 10
[158] 7 1 4 10
[156] 6 1 4 10
[244] 14 1 4 10
[196] 13 1 4 10
[175] 5 0 4 10
[511] 4 0 4 10
[415] 3 0 4 10
[37] 14 0 4 10
[35] 13 0 4 10
[33] 12 0 4 10
[368] 8 2 3 10
[320] 7 2 3 10
[272] 6 2 3 10
[126] 14 2 3 10
[132] 13 2 3 10
[130] 12 2 3 10
[246] 14 1 3 10
[252] 13 1 3 10
[202] 12 1 3 10
[238] 5 0 3 10
[522] 4 0 3 10
[408] 3 0 3 10
[30] 14 0 3 10
[36] 13 0 3 10
[34] 12 0 3 10
[73] 2 14 3 10
[98] 1 14 3 10
[29] 0 14 3 10
[132] 2 13 3 10
[156] 1 13 3 10
[36] 0 13 3 10
[130] 2 12 3 10
[154] 1 12 3 10
[34] 0 12 3 10
[24] 5 2 5 9
[80] 4 2 5 9
[476] 11 2 5 9
[472] 10 2 5 9
[362] 9 2 5 9
[112] 10 1 5 9
[50] 9 1 5 9
[120] 5 0 5 9
[176] 4 0 5 9
[188] 11 0 5 9
[184] 10 0 5 9
[122] 9 0 5 9
[330] 14 0 5 9
[282] 13 0 5 9
[92] 2 11 5 9
[188] 0 11 5 9
[212] 5 11 5 9
[500] 4 11 5 9
[88] 2 10 5 9
[112] 1 10 5 9
[184] 0 10 5 9
[208] 5 10 5 9
[496] 4 10 5 9
[14] 8 10 5 9
[12] 7 10 5 9
[4] 6 10 5 9
[77] 2 9 5 9
[102] 1 9 5 9
[121] 0 9 5 9
[483] 5 2 4 9
[3] 3 2 4 9
[211] 11 2 4 9
[213] 10 2 4 9
[209] 9 2 4 9
[99] 14 2 4 9
[243] 13 2 4 9
[195] 12 2 4 9
[484] 5 1 4 9
[4] 3 1 4 9
[208] 8 1 4 9
[206] 7 1 4 9
[204] 6 1 4 9
[244] 13 1 4 9
[196] 12 1 4 9
[487] 5 0 4 9
[7] 3 0 4 9
[157] 14 0 4 9
[251] 13 0 4 9
[201] 12 0 4 9
[27] 2 14 4 9
[127] 0 14 4 9
[243] 2 13 4 9
[244] 1 13 4 9
[247] 0 13 4 9
[195] 2 12 4 9
[196] 1 12 4 9
[199] 0 12 4 9
[200] 5 12 4 9
[258] 3 12 4 9
[481] 2 14 3 9
[485] 0 14 3 9
[6] 4 14 3 9
[150] 3 14 3 9
[12] 4 13 3 9
[204] 3 13 3 9
[484] 8 13 3 9
[496] 7 13 3 9
[494] 6 13 3 9
[10] 4 12 3 9
[202] 3 12 3 9
[293] 2 10 8 11 5
[289] 0 10 8 11 5
[245] 2 10 7 11 5
[241] 0 10 7 11 5
[332] 14 2 6 11 5
[284] 13 2 6 11 5
[458] 10 0 6 11 5
[125] 2 10 6 11 5
[25] 0 10 6 11 5
[86] 11 8 2 10 5
[422] 10 8 2 10 5
[470] 9 8 2 10 5
[322] 14 7 2 10 5
[318] 12 7 2 10 5
[271] 2 6 2 10 5
[220] 14 6 2 10 5
[172] 13 6 2 10 5
[124] 12 6 2 10 5
[101] 2 11 2 10 5
[314] 7 11 2 10 5
[266] 6 11 2 10 5
[428] 8 9 2 10 5
[380] 7 9 2 10 5
[332] 6 9 2 10 5
[254] 13 8 1 10 5
[254] 8 13 1 10 5
[230] 8 5 0 10 5
[228] 7 5 0 10 5
[172] 6 5 0 10 5
[328] 13 5 0 10 5
[280] 12 5 0 10 5
[518] 8 4 0 10 5
[516] 7 4 0 10 5
[506] 11 4 0 10 5
[524] 9 4 0 10 5
[422] 8 3 0 10 5
[412] 6 3 0 10 5
[458] 11 3 0 10 5
[230] 5 8 0 10 5
[518] 4 8 0 10 5
[422] 3 8 0 10 5
[228] 5 7 0 10 5
[516] 4 7 0 10 5
[172] 5 6 0 10 5
[412] 3 6 0 10 5
[97] 0 11 0 10 5
[506] 4 11 0 10 5
[410] 3 11 0 10 5
[524] 4 9 0 10 5
[372] 8 2 8 10 5
[316] 7 2 8 10 5
[328] 6 2 8 10 5
[254] 13 1 8 10 5
[230] 5 0 8 10 5
[518] 4 0 8 10 5
[422] 3 0 8 10 5
[364] 8 2 7 10 5
[376] 7 2 7 10 5
[326] 6 2 7 10 5
[228] 5 0 7 10 5
[516] 4 0 7 10 5
[367] 8 2 6 10 5
[319] 7 2 6 10 5
[271] 6 2 6 10 5
[133] 14 2 6 10 5
[131] 13 2 6 10 5
[129] 12 2 6 10 5
[171] 5 0 6 10 5
[411] 3 0 6 10 5
[43] 11 0 6 10 5
[41] 9 0 6 10 5
[78] 2 5 2 9 5
[49] 1 5 2 9 5
[15] 7 5 2 9 5
[13] 6 5 2 9 5
[207] 7 4 2 9 5
[205] 6 4 2 9 5
[101] 14 4 2 9 5
[245] 13 4 2 9 5
[197] 12 4 2 9 5
[495] 7 3 2 9 5
[493] 6 3 2 9 5
[15] 5 7 2 9 5
[207] 4 7 2 9 5
[495] 3 7 2 9 5
[351] 10 7 2 9 5
[63] 9 7 2 9 5
[13] 5 6 2 9 5
[205] 4 6 2 9 5
[493] 3 6 2 9 5
[353] 8 10 2 9 5
[303] 7 10 2 9 5
[109] 6 10 2 9 5
[97] 1 9 2 9 5
[63] 7 9 2 9 5
[25] 2 5 1 9 5
[125] 0 5 1 9 5
[81] 2 5 0 9 5
[105] 1 5 0 9 5
[177] 0 5 0 9 5
[13] 13 5 0 9 5
[11] 12 5 0 9 5
[167] 14 4 0 9 5
[311] 13 4 0 9 5
[263] 12 4 0 9 5
[501] 11 3 0 9 5
[289] 8 10 0 9 5
[241] 7 10 0 9 5
[49] 6 10 0 9 5
[101] 1 9 0 9 5
[71] 4 9 0 9 5
[89] 8 2 5 9 5
[87] 7 2 5 9 5
[85] 6 2 5 9 5
[413] 11 2 5 9 5
[461] 10 2 5 9 5
[365] 9 2 5 9 5
[177] 5 0 5 9 5
[191] 4 0 5 9 5
[187] 3 0 5 9 5
[265] 14 0 5 9 5
[217] 13 0 5 9 5
[169] 12 0 5 9 5
[207] 7 2 4 9 5
[205] 6 2 4 9 5
[101] 14 2 4 9 5
[245] 13 2 4 9 5
[197] 12 2 4 9 5
[489] 5 0 4 9 5
[455] 4 0 4 9 5
[19] 3 0 4 9 5
[97] 14 0 4 9 5
[241] 13 0 4 9 5
[193] 12 0 4 9 5
[245] 2 13 4 9 5
[241] 0 13 4 9 5
[197] 2 12 4 9 5
[193] 0 12 4 9 5
[495] 7 2 3 9 5
[493] 6 2 3 9 5
[23] 4 0 3 9 5
[289] 8 5 11 2 4
[241] 7 5 11 2 4
[49] 6 5 11 2 4
[297] 8 4 11 2 4
[249] 7 4 11 2 4
[105] 6 4 11 2 4
[359] 8 3 11 2 4
[311] 7 3 11 2 4
[119] 6 3 11 2 4
[71] 11 3 11 2 4
[455] 10 3 11 2 4
[289] 5 8 11 2 4
[297] 4 8 11 2 4
[359] 3 8 11 2 4
[357] 11 8 11 2 4
[353] 10 8 11 2 4
[241] 5 7 11 2 4
[249] 4 7 11 2 4
[311] 3 7 11 2 4
[309] 11 7 11 2 4
[305] 10 7 11 2 4
[259] 14 7 11 2 4
[163] 12 7 11 2 4
[187] 2 6 11 2 4
[19] 1 6 11 2 4
[91] 0 6 11 2 4
[49] 5 6 11 2 4
[105] 4 6 11 2 4
[119] 3 6 11 2 4
[117] 11 6 11 2 4
[113] 10 6 11 2 4
[429] 8 2 10 2 4
[381] 7 2 10 2 4
[333] 6 2 10 2 4
[161] 11 1 10 2 4
[163] 9 1 10 2 4
[309] 14 1 10 2 4
[261] 13 1 10 2 4
[237] 5 0 10 2 4
[525] 4 0 10 2 4
[477] 3 0 10 2 4
[41] 11 0 10 2 4
[43] 9 0 10 2 4
[89] 2 5 9 2 4
[113] 1 5 9 2 4
[185] 0 5 9 2 4
[15] 8 5 9 2 4
[13] 7 5 9 2 4
[19] 10 5 9 2 4
[21] 9 5 9 2 4
[207] 8 4 9 2 4
[205] 7 4 9 2 4
[161] 14 4 9 2 4
[305] 13 4 9 2 4
[257] 12 4 9 2 4
[495] 8 3 9 2 4
[493] 7 3 9 2 4
[501] 9 3 9 2 4
[15] 5 8 9 2 4
[207] 4 8 9 2 4
[495] 3 8 9 2 4
[351] 10 8 9 2 4
[63] 9 8 9 2 4
[13] 5 7 9 2 4
[205] 4 7 9 2 4
[493] 3 7 9 2 4
[254] 14 7 11 1 4
[180] 2 6 11 1 4
[84] 0 6 11 1 4
[367] 8 2 10 1 4
[319] 7 2 10 1 4
[271] 6 2 10 1 4
[133] 14 2 10 1 4
[131] 13 2 10 1 4
[129] 12 2 10 1 4
[171] 5 0 10 1 4
[411] 3 0 10 1 4
[43] 11 0 10 1 4
[41] 9 0 10 1 4
[301] 14 8 11 0 4
[299] 13 8 11 0 4
[297] 12 8 11 0 4
[253] 14 7 11 0 4
[203] 13 7 11 0 4
[153] 12 7 11 0 4
[76] 0 6 11 0 4
[109] 14 6 11 0 4
[107] 13 6 11 0 4
[105] 12 6 11 0 4
[293] 8 14 11 0 4
[305] 7 14 11 0 4
[111] 6 14 11 0 4
[299] 8 13 11 0 4
[107] 6 13 11 0 4
[297] 8 12 11 0 4
[249] 7 12 11 0 4
[105] 6 12 11 0 4
[163] 11 1 10 0 4
[161] 9 1 10 0 4
[172] 5 0 10 0 4
[412] 3 0 10 0 4
[133] 2 14 10 0 4
[63] 6 14 10 0 4
[131] 2 13 10 0 4
[155] 1 13 10 0 4
[129] 2 12 10 0 4
[153] 1 12 10 0 4
[71] 5 12 10 0 4
[124] 0 5 9 0 4
[13] 14 5 9 0 4
[11] 13 5 9 0 4
[493] 14 3 9 0 4
[491] 13 3 9 0 4
[489] 12 3 9 0 4
[13] 5 14 9 0 4
[205] 4 14 9 0 4
[493] 3 14 9 0 4
[11] 5 13 9 0 4
[203] 4 13 9 0 4
[491] 3 13 9 0 4
[23] 5 12 9 0 4
[351] 11 6 14 0 4
[63] 10 6 14 0 4
[293] 8 11 14 0 4
[305] 7 11 14 0 4
[111] 6 11 14 0 4
[133] 2 10 14 0 4
[63] 6 10 14 0 4
[13] 5 9 14 0 4
[205] 4 9 14 0 4
[493] 3 9 14 0 4
[299] 8 11 13 0 4
[107] 6 11 13 0 4
[131] 2 10 13 0 4
[155] 1 10 13 0 4
[11] 5 9 13 0 4
[203] 4 9 13 0 4
[491] 3 9 13 0 4
[71] 10 5 12 0 4
[455] 9 5 12 0 4
[297] 8 11 12 0 4
[249] 7 11 12 0 4
[105] 6 11 12 0 4
[129] 2 10 12 0 4
[153] 1 10 12 0 4
[71] 5 10 12 0 4
[23] 5 9 12 0 4
[357] 10 8 2 11 4
[353] 9 8 2 11 4
[309] 10 7 2 11 4
[305] 9 7 2 11 4
[124] 2 6 2 11 4
[117] 10 6 2 11 4
[113] 9 6 2 11 4
[163] 1 11 2 11 4
[43] 0 11 2 11 4
[71] 3 11 2 11 4
[21] 5 10 2 11 4
[501] 3 10 2 11 4
[254] 14 7 1 11 4
[180] 2 6 1 11 4
[84] 0 6 1 11 4
[301] 14 8 0 11 4
[299] 13 8 0 11 4
[297] 12 8 0 11 4
[253] 14 7 0 11 4
[203] 13 7 0 11 4
[153] 12 7 0 11 4
[76] 0 6 0 11 4
[109] 14 6 0 11 4
[107] 13 6 0 11 4
[105] 12 6 0 11 4
[293] 8 14 0 11 4
[305] 7 14 0 11 4
[111] 6 14 0 11 4
[299] 8 13 0 11 4
[107] 6 13 0 11 4
[297] 8 12 0 11 4
[249] 7 12 0 11 4
[105] 6 12 0 11 4
[357] 10 2 8 11 4
[353] 9 2 8 11 4
[301] 14 0 8 11 4
[299] 13 0 8 11 4
[297] 12 0 8 11 4
[309] 10 2 7 11 4
[305] 9 2 7 11 4
[253] 14 0 7 11 4
[203] 13 0 7 11 4
[153] 12 0 7 11 4
[187] 11 2 6 11 4
[189] 10 2 6 11 4
[185] 9 2 6 11 4
[219] 13 2 6 11 4
[171] 12 2 6 11 4
[463] 10 0 6 11 4
[367] 9 0 6 11 4
[85] 14 0 6 11 4
[83] 13 0 6 11 4
[81] 12 0 6 11 4
[364] 2 8 2 10 4
[367] 1 8 2 10 4
[91] 11 8 2 10 4
[477] 10 8 2 10 4
[473] 9 8 2 10 4
[316] 2 7 2 10 4
[319] 1 7 2 10 4
[379] 11 7 2 10 4
[381] 10 7 2 10 4
[377] 9 7 2 10 4
[271] 1 6 2 10 4
[331] 11 6 2 10 4
[333] 10 6 2 10 4
[329] 9 6 2 10 4
[219] 14 6 2 10 4
[171] 13 6 2 10 4
[163] 2 11 2 10 4
[43] 1 11 2 10 4
[129] 4 11 2 10 4
[143] 3 11 2 10 4
[427] 8 11 2 10 4
[379] 7 11 2 10 4
[331] 6 11 2 10 4
[429] 8 10 2 10 4
[381] 7 10 2 10 4
[333] 6 10 2 10 4
[161] 2 9 2 10 4
[41] 1 9 2 10 4
[375] 8 9 2 10 4
[325] 7 9 2 10 4
[269] 6 9 2 10 4
[254] 13 7 1 10 4
